,0
0,FAM41C
1,KLHL17
2,HES4
3,C1orf159
4,TTLL10
5,TNFRSF18
6,TNFRSF4
7,AL162741.1
8,INTS11
9,CCNL2
10,ANKRD65
11,VWA1
12,ATAD3A
13,AL645728.1
14,FO704657.1
15,SLC35E2B
16,GNB1
17,AL109917.1
18,PRKCZ
19,SKI
20,AL139246.5
21,AL139246.3
22,WRAP73
23,TP73
24,SMIM1
25,CEP104
26,DFFB
27,NPHP4
28,RNF207
29,GPR153
30,ACOT7
31,AL031848.2
32,TNFRSF25
33,PLEKHG5
34,KLHL21
35,PHF13
36,DNAJC11
37,CAMTA1
38,VAMP3
39,UTS2
40,TNFRSF9
41,PARK7
42,ERRFI1
43,SLC45A1
44,RERE
45,ENO1-AS1
46,SLC2A5
47,GPR157
48,SPSB1
49,TMEM201
50,LZIC
51,RBP7
52,PGD
53,PEX14
54,C1orf127
55,TARDBP
56,SRM
57,AGTRAP
58,MFN2
59,VPS13D
60,EFHD2
61,CASP9
62,PLEKHM2
63,AL450998.2
64,SLC25A34
65,UQCRHL
66,ZBTB17
67,CPLANE2
68,SPATA21
69,NBPF1
70,PADI2
71,NBL1
72,TMCO4
73,PLA2G2D
74,UBXN10
75,MUL1
76,PINK1
77,DDOST
78,KIF17
79,HP1BP3
80,NBPF3
81,USP48
82,HSPG2
83,LINC01635
84,C1QA
85,C1QC
86,C1QB
87,EPHB2
88,LUZP1
89,GALE
90,FUCA1
91,PNRC2
92,SRSF10
93,IFNLR1
94,RCAN3
95,RUNX3
96,TMEM50A
97,RHCE
98,MACO1
99,SELENON
100,AL020996.1
101,AUNIP
102,STMN1
103,PDIK1L
104,SH3BGRL3
105,CD52
106,CRYBG2
107,ZNF683
108,DHDDS
109,HMGN2
110,ARID1A
111,ZDHHC18
112,NUDC
113,KDF1
114,MAP3K6
115,FCN3
116,BX293535.1
117,FGR
118,LINC02574
119,FAM76A
120,RPA2
121,SMPDL3B
122,PTAFR
123,AL353622.1
124,MED18
125,PHACTR4
126,SNHG12
127,SDC3
128,SNRNP40
129,ZCCHC17
130,PEF1
131,ADGRB2
132,SPOCD1
133,PTP4A2
134,CCDC28B
135,FAM167B
136,HDAC1
137,ZBTB8OS
138,RBBP4
139,KIAA1522
140,AK2
141,AZIN2
142,PHC2
143,ZSCAN20
144,DLGAP3
145,TMEM35B
146,KIAA0319L
147,TFAP2E
148,C1orf216
149,CLSPN
150,TRAPPC3
151,MAP7D1
152,EVA1B
153,STK40
154,CSF3R
155,LINC01137
156,ZC3H12A
157,MANEAL
158,YRDC
159,INPP5B
160,SF3A3
161,MYCBP
162,NDUFS5
163,HPCAL4
164,TRIT1
165,COL9A2
166,ZFP69B
167,AL603839.3
168,RIMS3
169,CCDC30
170,SVBP
171,AL512353.1
172,ZNF691
173,TIE1
174,CDC20
175,SZT2
176,HYI
177,KDM4A
178,IPO13
179,CCDC24
180,ERI3
181,TMEM53
182,ARMH1
183,KIF2C
184,BEST4
185,PLK3
186,TCTEX1D4
187,PTCH2
188,LINC01144
189,HPDL
190,MUTYH
191,TOE1
192,MMACHC
193,PRDX1
194,CCDC17
195,MAST2
196,PIK3R3
197,EFCAB14
198,STIL
199,FOXD2-AS1
200,SPATA6
201,BEND5
202,TTC39A
203,OSBPL9
204,AL050343.2
205,KTI12
206,CC2D1B
207,ORC1
208,PRPF38A
209,PODN
210,CPT2
211,AL606760.1
212,LRP8
213,HSPB11
214,CYB5RL
215,MRPL37
216,PARS2
217,TTC22
218,MIR4422HG
219,OMA1
220,TACSTD2
221,JUN
222,FGGY
223,PATJ
224,USP1
225,DOCK7
226,ALG6
227,ITGB3BP
228,ROR1
229,RAVER2
230,JAK1
231,AK4
232,LEPR
233,AL513493.1
234,TCTEX1D1
235,MIER1
236,IL23R
237,HHLA3
238,NEGR1
239,ERICH3
240,ST6GALNAC3
241,PIGK
242,AK5
243,MIGA1
244,NEXN
245,DNAJB4
246,AC103591.3
247,IFI44L
248,ADGRL4
249,LINC01781
250,ADGRL2
251,LINC01725
252,PRKACB
253,MCOLN2
254,MCOLN3
255,SYDE2
256,C1orf52
257,AL078459.1
258,DDAH1
259,ODF2L
260,SH3GLB1
261,SELENOF
262,HS2ST1
263,PKN2
264,GTF2B
265,RBMXL1
266,GBP2
267,GBP5
268,TGFBR3
269,EPHX4
270,BTBD8
271,TMED5
272,DR1
273,BCAR3
274,ARHGAP29
275,SLC44A3
276,CNN3
277,SNX7
278,FRRS1
279,AC118553.1
280,RTCA-AS1
281,EXTL2
282,DPH5
283,AC093157.1
284,S1PR1
285,AL359258.2
286,AKNAD1
287,CLCC1
288,ATXN7L2
289,GSTM4
290,GSTM1
291,STRIP1
292,AL160006.1
293,RBM15-AS1
294,AL360270.1
295,AL360270.3
296,CEPT1
297,CHI3L2
298,WDR77
299,ATP5PB
300,INKA2
301,DDX20
302,WNT2B
303,CAPZA1
304,RHOC
305,PPM1J
306,SLC16A1-AS1
307,RSBN1
308,HIPK1
309,CSDE1
310,TSPAN2
311,CD58
312,CD2
313,PTGFRN
314,CD101
315,GDAP2
316,WDR3
317,PHGDH
318,REG4
319,NOTCH2
320,NBPF26
321,FCGR1B
322,FAM72B
323,AC246785.3
324,AC245014.3
325,POLR3C
326,ITGA10
327,PEX11B
328,ANKRD34A
329,BCL9
330,GPR89B
331,NBPF14
332,NBPF19
333,FCGR1A
334,SV2A
335,MTMR11
336,OTUD7B
337,PLEKHO1
338,APH1A
339,C1orf54
340,RPRD2
341,TARS2
342,FALEC
343,GOLPH3L
344,HORMAD1
345,CTSK
346,GABPB2
347,SCNM1
348,VPS72
349,PSMD4
350,ZNF687
351,AL391069.2
352,SELENBP1
353,PSMB4
354,POGZ
355,TUFT1
356,SNX27
357,OAZ3
358,AL589765.4
359,TDRKH
360,TDRKH-AS1
361,RORC
362,S100A10
363,S100A9
364,S100A12
365,S100A8
366,S100A6
367,S100A4
368,S100A2
369,SNAPIN
370,SLC27A3
371,SLC39A1
372,AL358472.2
373,RAB13
374,C1orf43
375,AQP10
376,IL6R
377,ADAR
378,KCNN3
379,PYGO2
380,CKS1B
381,EFNA4
382,EFNA3
383,EFNA1
384,TRIM46
385,THBS3
386,AC234582.1
387,FAM189B
388,RUSC1-AS1
389,ASH1L-AS1
390,YY1AP1
391,GON4L
392,RIT1
393,SSR2
394,LMNA
395,SLC25A44
396,PAQR6
397,SMG5
398,TSACC
399,RRNAD1
400,PRCC
401,NTRK1
402,PEAR1
403,FCRL5
404,FCRL3
405,FCRL2
406,CD1D
407,AL138899.1
408,CD1A
409,CD1C
410,CD1E
411,MNDA
412,PYHIN1
413,AIM2
414,ACKR1
415,FCER1A
416,DUSP23
417,FCRL6
418,VSIG8
419,CFAP45
420,TAGLN2
421,AL121987.2
422,AL139011.1
423,COPA
424,SLAMF6
425,CD84
426,AL121985.1
427,SLAMF7
428,LY9
429,USF1
430,NIT1
431,PPOX
432,ADAMTS4
433,NDUFS2
434,FCER1G
435,MPZ
436,FCGR2A
437,FCGR3A
438,FCGR3B
439,FCGR2B
440,FCRLA
441,DUSP12
442,SH2D1B
443,UHMK1
444,AL592435.1
445,NUF2
446,MGST3
447,ALDH9A1
448,UCK2
449,AL451050.2
450,CD247
451,AL359962.2
452,RCSD1
453,MPZL1
454,MPC2
455,TBX19
456,XCL2
457,XCL1
458,NME7
459,SELP
460,SELL
461,GORAB
462,TNFSF18
463,TNFSF4
464,PRDX6
465,ANKRD45
466,RC3H1
467,RABGAP1L
468,COP1
469,SOAT1
470,AL353708.3
471,ACBD6
472,XPR1
473,AL162431.1
474,RGS16
475,LINC01686
476,NCF2
477,COLGALT2
478,TSEN15
479,EDEM3
480,RNF2
481,IVNS1ABP
482,PTGS2
483,PLA2G4A
484,RGS18
485,AL136987.1
486,RGS1
487,RGS2
488,UCHL5
489,CFH
490,ASPM
491,DENND1B
492,PTPRC
493,ZNF281
494,DDX59
495,CSRP1
496,AC096677.1
497,IPO9
498,TIMM17A
499,ELF3
500,PTPN7
501,KDM5B
502,PCAT6
503,ADIPOR1
504,LINC01353
505,BTG2
506,FMOD
507,ATP2B4
508,LAX1
509,REN
510,PPP1R15B
511,PIK3C2B
512,NUAK2
513,MFSD4A
514,PM20D1
515,RAB7B
516,SRGAP2
517,RASSF5
518,DYRK3
519,MAPKAPK2
520,IL10
521,FCMR
522,PIGR
523,CR2
524,CR1
525,CD34
526,PLXNA2
527,LAMB3
528,TRAF3IP3
529,C1orf74
530,NEK2
531,DTL
532,PPP2R5A
533,NENF
534,ATF3
535,BATF3
536,PTPN14
537,CENPF
538,TGFB2
539,LYPLAL1
540,ZC3H11B
541,C1orf115
542,HLX-AS1
543,TAF1A-AS1
544,MIA3
545,FAM177B
546,DISP1
547,SUSD4
548,CAPN2
549,FBXO28
550,DEGS1
551,CNIH4
552,SRP9
553,AL591895.1
554,PSEN2
555,CDC42BPA
556,ZNF678
557,C1orf35
558,OBSCN-AS1
559,TRIM17
560,CCSAP
561,NUP133
562,C1orf198
563,FAM89A
564,C1orf131
565,GNPAT
566,TSNAX
567,DISC1
568,SIPA1L2
569,MAP10
570,SLC35F3
571,COA6
572,TARBP1
573,IRF2BP2
574,AL391832.3
575,RBM34
576,ERO1B
577,EDARADD
578,LGALS8
579,LGALS8-AS1
580,GREM2
581,RGS7
582,KMO
583,ZBTB18
584,COX20
585,SCCPDH
586,ZNF670
587,GCSAML
588,ZNF672
589,AC092159.2
590,AC108488.1
591,NRIR
592,RNF144A
593,LINC00299
594,ID2
595,ASAP2
596,CPSF3
597,ADAM17
598,RRM2
599,ODC1
600,LINC01954
601,SMC6
602,LINC01376
603,AC013400.1
604,SDC1
605,UBXN2A
606,FAM228B
607,ITSN2
608,DNAJC27
609,POMC
610,DNMT3A
611,DTNB
612,GAREM2
613,ADGRF3
614,SLC35F6
615,CENPA
616,MAPRE3
617,TMEM214
618,EMILIN1
619,ABHD1
620,ATRAID
621,UCN
622,AC074117.1
623,SNX17
624,IFT172
625,ZNF512
626,SLC4A1AP
627,MRPL33
628,RBKS
629,FOSL2
630,SPDYA
631,CLIP4
632,YPEL5
633,LBH
634,GALNT14
635,EHD3
636,MEMO1
637,SPAST
638,YIPF4
639,CRIM1
640,STRN
641,GPATCH11
642,CEBPZOS
643,CEBPZ
644,CDC42EP3
645,CYP1B1
646,CYP1B1-AS1
647,HNRNPLL
648,MAP4K3
649,THUMPD2
650,SLC8A1
651,EML4
652,COX7A2L
653,OXER1
654,HAAO
655,ZFP36L2
656,LINC01126
657,AC010883.1
658,DYNC2LI1
659,PPM1B
660,SLC3A1
661,CAMKMT
662,PRKCE
663,EPAS1
664,RHOQ
665,CRIPT
666,SOCS5
667,MCFD2
668,CALM2
669,EPCAM
670,KCNK12
671,FBXO11
672,AC079807.1
673,AC092650.1
674,FOXN2
675,CHAC2
676,SPTBN1
677,RTN4
678,CFAP36
679,EFEMP1
680,FANCL
681,LINC01122
682,PEX13
683,KIAA1841
684,C2orf74
685,B3GNT2
686,MDH1
687,UGP2
688,VPS54
689,LINC00309
690,AFTPH
691,AC007365.1
692,LINC01800
693,SLC1A4
694,PPP3R1
695,AC017083.2
696,CNRIP1
697,PLEK
698,ARHGAP25
699,AAK1
700,GMCL1
701,MXD1
702,C2orf42
703,TIA1
704,TGFA
705,CD207
706,NAGK
707,SPR
708,SFXN5
709,SMYD5
710,EGR4
711,ALMS1
712,TPRKB
713,DGUOK-AS1
714,BOLA3-AS1
715,MOB1A
716,SLC4A5
717,DCTN1
718,C2orf81
719,RTKN
720,MOGS
721,LBX2-AS1
722,DOK1
723,GCFC2
724,DNAH6
725,TMSB10
726,TGOLN2
727,RETSAT
728,CAPG
729,MAT2A
730,GGCX
731,VAMP8
732,TMEM150A
733,GNLY
734,ST3GAL5
735,ST3GAL5-AS1
736,POLR1A
737,IMMT
738,CHMP3
739,RMND5A
740,CD8A
741,CD8B
742,PLGLB1
743,IGKV3OR2-268
744,CYTOR
745,PLGLB2
746,RGPD2
747,THNSL2
748,RPIA
749,IGKC
750,IGKV5-2
751,IGKV1-12
752,IGKV1-16
753,IGKV1-17
754,IGKV2-26
755,IGKV1-27
756,IGKV2-28
757,IGKV1-33
758,IGKV1-39
759,IGKV1D-39
760,IGKV2D-30
761,IGKV2D-29
762,IGKV2D-28
763,IGKV6D-21
764,IGKV3D-20
765,IGKV1D-16
766,IGKV1D-13
767,IGKV1D-12
768,IGKV3D-11
769,IGKV1D-8
770,MAL
771,ZNF2
772,AC092835.1
773,FAHD2A
774,AC009237.14
775,LINC00342
776,ANKRD36C
777,GPAT2
778,DUSP2
779,CIAO1
780,AC021188.1
781,NCAPH
782,CNNM4
783,CNNM3
784,ANKRD23
785,SEMA4C
786,AC159540.2
787,AC092683.1
788,UNC50
789,MGAT4A
790,TSGA10
791,EIF5B
792,AC018690.1
793,AFF3
794,CHST10
795,PDCL3
796,TBC1D8
797,MAP4K4
798,LINC01127
799,IL1R2
800,IL1R1
801,IL1RL1
802,IL18R1
803,IL18RAP
804,MFSD9
805,MRPS9
806,AC012360.1
807,UXS1
808,CD8B2
809,LIMS1
810,RANBP2
811,CCDC138
812,EDAR
813,SOWAHC
814,NPHP1
815,BUB1
816,AC108463.3
817,AC017002.1
818,ANAPC1
819,MERTK
820,FBLN7
821,ZC3H8
822,POLR1B
823,CKAP2L
824,IL1B
825,IL1RN
826,AC110769.2
827,ACTR3
828,AC009404.1
829,MARCO
830,STEAP3
831,C2orf76
832,DBI
833,PTPN4
834,AC012447.1
835,PROC
836,MYO7B
837,LIMS2
838,SAP130
839,HS6ST1
840,SMPD4
841,MZT2B
842,PTPN18
843,MZT2A
844,CCDC74A
845,CCNT2-AS1
846,CCNT2
847,UBXN4
848,MCM6
849,CXCR4
850,HNMT
851,AC114763.1
852,SPOPL
853,KYNU
854,ZEB2
855,ZEB2-AS1
856,MBD5
857,EPC2
858,TNFAIP6
859,RIF1
860,NEB
861,ARL5A
862,STAM2
863,FMNL2
864,LINC01876
865,NR4A2
866,GPD2
867,CYTIP
868,TANK
869,SLC4A10
870,DPP4
871,COBLL1
872,SLC38A11
873,SCN3A
874,AC009495.3
875,SCN9A
876,SPC25
877,PPIG
878,CCDC173
879,KLHL23
880,SSB
881,METTL5
882,MYO3B
883,TLK1
884,CYBRD1
885,ITGA6
886,PDK1
887,CDCA7
888,CIR1
889,GPR155
890,AC010894.2
891,WIPF1
892,CHN1
893,MTX2
894,PJVK
895,PLEKHA3
896,CWC22
897,DUSP19
898,AC096667.1
899,ZNF804A
900,ZC3H15
901,TFPI
902,WDR75
903,SLC40A1
904,OSGEPL1
905,OSGEPL1-AS1
906,PMS1
907,C2orf88
908,STAT1
909,STAT4
910,MYO1B
911,NABP1
912,CAVIN2
913,LINC01825
914,AC114760.2
915,HECW2
916,PLCL1
917,SATB2
918,TYW5
919,SPATS2L
920,SGO2
921,NIF3L1
922,AC005037.1
923,NDUFB3
924,TMEM237
925,ALS2
926,NOP58
927,BMPR2
928,ICA1L
929,CYP20A1
930,CD28
931,CTLA4
932,ICOS
933,ADAM23
934,CCNYL1
935,CRYGD
936,IDH1-AS1
937,MAP2
938,RPE
939,AC007038.1
940,IKZF2
941,BARD1
942,ATIC
943,MREG
944,PECR
945,TMEM169
946,XRCC5
947,LINC01963
948,IGFBP2
949,TNS1
950,RUFY4
951,CXCR2
952,CXCR1
953,TMBIM1
954,USP37
955,CNOT9
956,ZNF142
957,CYP27A1
958,CNPPD1
959,TUBA4A
960,SPEG
961,EPHA4
962,SGPP2
963,WDFY1
964,SERPINE2
965,IRS1
966,COL4A3
967,TRIP12
968,FBXO36
969,SP140L
970,ITM2C
971,GPR55
972,ARMC9
973,B3GNT7
974,NMUR1
975,PTMA
976,COPS7B
977,AC073254.1
978,EFHD1
979,INPP5D
980,ARL4C
981,SH3BP4
982,IQCA1
983,ACKR3
984,COPS8
985,SCLY
986,TRAF3IP1
987,AC016999.1
988,HDAC4
989,NDUFA10
990,GPC1
991,GPR35
992,SNED1
993,PASK
994,PPP1R7
995,HDLBP
996,NEU4
997,PDCD1
998,RTP5
999,LINC01238
1000,CHL1
1001,IL5RA
1002,TRNT1
1003,LRRN1
1004,EGOT
1005,BHLHE40-AS1
1006,BHLHE40
1007,EDEM1
1008,AC069277.1
1009,LMCD1
1010,RAD18
1011,SRGAP3
1012,THUMPD3-AS1
1013,SETD5
1014,BRPF1
1015,OGG1
1016,CAMK1
1017,TADA3
1018,ARPC4
1019,IL17RE
1020,EMC3
1021,FANCD2
1022,BRK1
1023,IRAK2
1024,LINC00852
1025,ATG7
1026,RAF1
1027,TMEM40
1028,CAND2
1029,RPL32
1030,IQSEC1
1031,NUP210
1032,HDAC11-AS1
1033,FBLN2
1034,SLC6A6
1035,MRPS25
1036,RBSN
1037,CAPN7
1038,SH3BP5-AS1
1039,SH3BP5
1040,EAF1
1041,ANKRD28
1042,OXNAD1
1043,AC090948.1
1044,AC090948.3
1045,TBC1D5
1046,EFHB
1047,ZNF385D
1048,UBE2E2
1049,NKIRAS1
1050,LINC02084
1051,EOMES
1052,CMC1
1053,ZCWPW2
1054,TGFBR2
1055,CCR4
1056,GLB1
1057,UBP1
1058,PDCD6IP
1059,AC097359.2
1060,ITGA9
1061,CTDSPL
1062,OXSR1
1063,XYLB
1064,ACVR2B
1065,WDR48
1066,GORASP1
1067,CSRNP1
1068,AC092053.3
1069,CX3CR1
1070,EIF1B
1071,ENTPD3-AS1
1072,RPL14
1073,ZNF619
1074,ZNF621
1075,CTNNB1
1076,SEC22C
1077,NKTR
1078,ZBTB47
1079,CCDC13
1080,LINC02158
1081,KRBOX1
1082,ZNF662
1083,SNRK
1084,ANO10
1085,ABHD5
1086,AC104187.1
1087,ZKSCAN7
1088,ZNF660
1089,ZNF197
1090,AC124045.1
1091,ZNF502
1092,ZNF501
1093,KIAA1143
1094,KIF15
1095,TMEM42
1096,ZDHHC3
1097,CDCP1
1098,SACM1L
1099,LZTFL1
1100,CXCR6
1101,XCR1
1102,CCR2
1103,CCR5
1104,CCRL2
1105,LTF
1106,LRRC2
1107,NBEAL2
1108,SETD2
