,0
0,LINC01128
1,PLEKHN1
2,HES4
3,ISG15
4,TTLL10
5,TNFRSF18
6,TNFRSF4
7,SDF4
8,FNDC10
9,PLCH2
10,TNFRSF14
11,PRDM16
12,SMIM1
13,RPL22
14,TNFRSF25
15,THAP3
16,CAMTA1
17,UTS2
18,TNFRSF9
19,ENO1
20,SLC2A5
21,GPR157
22,PIK3CD-AS2
23,CTNNBIP1
24,RBP7
25,KIF1B
26,PGD
27,CENPS
28,SRM
29,MAD2L2
30,AGTRAP
31,AL021155.5
32,TNFRSF1B
33,DHRS3
34,PRDM2
35,KAZN
36,TMEM51
37,EFHD2
38,UQCRHL
39,CROCC
40,ATP13A2
41,PADI2
42,PADI4
43,RCC2
44,IFFO2
45,AKR7A2
46,SLC66A1
47,CAPZB
48,MICOS10
49,NBL1
50,PLA2G2A
51,UBXN10
52,KIF17
53,HP1BP3
54,CDC42
55,C1QA
56,C1QC
57,C1QB
58,E2F2
59,ID3
60,RPL11
61,GALE
62,FUCA1
63,CNR2
64,RCAN3
65,SRRM1
66,CLIC4
67,RUNX3
68,RSRP1
69,AUNIP
70,STMN1
71,SH3BGRL3
72,CD52
73,ZNF683
74,HMGN2
75,RPS6KA1
76,MAP3K6
77,WASF2
78,AHDC1
79,FGR
80,PPP1R8
81,THEMIS2
82,EYA3
83,PTAFR
84,ATP5IF1
85,AL360012.1
86,EPB41
87,LAPTM5
88,SDC3
89,SNRNP40
90,SERINC2
91,LINC01226
92,CCDC28B
93,LCK
94,MARCKSL1
95,KIAA1522
96,GJA4
97,TMEM35B
98,CLSPN
99,SH3D21
100,CSF3R
101,ZC3H12A
102,MEAF6
103,CDCA8
104,FHL3
105,PABPC4
106,BMP8B
107,MYCL
108,MFSD2A
109,CAP1
110,PPT1
111,COL9A2
112,SMAP2
113,RIMS3
114,CITED4
115,SCMH1
116,HIVEP3
117,YBX1
118,EBNA1BP2
119,TIE1
120,CDC20
121,ATP6V0B
122,ARMH1
123,KIF2C
124,RPS8
125,PLK3
126,PTCH2
127,UROD
128,PRDX1
129,NASP
130,GPBP1L1
131,LRRC41
132,TAL1
133,ORC1
134,ZYG11A
135,LRP8
136,LINC02812
137,HSPB11
138,TMEM59
139,TACSTD2
140,JUN
141,NFIA-AS2
142,ROR1
143,JAK1
144,AK4
145,LEPROT
146,AL513493.1
147,PDE4B
148,TCTEX1D1
149,IL23R
150,IL12RB2
151,DEPDC1
152,NEGR1
153,AK5
154,NEXN
155,DNAJB4
156,AC103591.3
157,IFI44L
158,LINC01781
159,TTLL7
160,GNG5
161,MCOLN2
162,COL24A1
163,ODF2L
164,LINC01140
165,LMO4
166,GBP1
167,GBP2
168,GBP5
169,ZNF644
170,CDC7
171,TGFBR3
172,EVI5
173,RPL5
174,MTF2
175,FNBP1L
176,BCAR3
177,AC118469.2
178,CNN3
179,TLCD4
180,DPYD
181,CDC14A
182,VCAM1
183,S1PR1
184,VAV3
185,AL356488.3
186,KIAA1324
187,SORT1
188,GSTM2
189,GSTM1
190,GSTM3
191,CSF1
192,KCNA3
193,CD53
194,DENND2D
195,WDR77
196,C1orf162
197,RAP1A
198,CTTNBP2NL
199,CAPZA1
200,RHOC
201,PPM1J
202,LINC01357
203,PHTF1
204,PTPN22
205,HIPK1-AS1
206,HIPK1
207,BCAS2
208,DENND2C
209,CD58
210,CD2
211,CD101
212,TENT5C
213,PHGDH
214,AC253572.2
215,AC245014.3
216,CD160
217,PEX11B
218,TXNIP
219,AC239799.2
220,LINC02805
221,LINC01138
222,PDE4DIP
223,AC245297.3
224,FCGR1A
225,HIST2H2AA4
226,PLEKHO1
227,ANP32E
228,C1orf54
229,ADAMTSL4
230,MCL1
231,CTSS
232,C1orf56
233,CDC42SE1
234,MLLT11
235,TNFAIP8L2
236,RFX5
237,AL391069.2
238,TDRKH-AS1
239,RORC
240,S100A10
241,S100A11
242,LOR
243,S100A9
244,S100A12
245,S100A8
246,S100A6
247,S100A4
248,S100A3
249,RAB13
250,RPS27
251,TPM3
252,IL6R
253,PBXIP1
254,CKS1B
255,ADAM15
256,KRTCAP2
257,PKLR
258,RUSC1
259,SSR2
260,LMNA
261,SEMA4A
262,HDGF
263,SH2D2A
264,NTRK1
265,ETV3
266,FCRL5
267,FCRL3
268,FCRL2
269,FCRL1
270,CD5L
271,CD1C
272,CD1B
273,CD1E
274,SPTA1
275,MNDA
276,PYHIN1
277,IFI16
278,AIM2
279,FCER1A
280,FCRL6
281,SLAMF8
282,TAGLN2
283,LINC01133
284,PEA15
285,SLAMF6
286,CD84
287,SLAMF1
288,CD48
289,SLAMF7
290,LY9
291,ITLN1
292,UFC1
293,FCER1G
294,APOA2
295,FCGR2A
296,HSPA6
297,FCGR3A
298,FCGR2B
299,FCRLA
300,SH2D1B
301,PBX1
302,MGST3
303,TMCO1-AS1
304,UCK2
305,CD247
306,CREG1
307,RCSD1
308,MPZL1
309,SFT2D2
310,XCL2
311,XCL1
312,ATP1B1
313,F5
314,SELP
315,C1orf112
