,0
0,A2M
1,A2M-AS1
2,A2MP1
3,AAED1
4,ABCA1
5,ABCA6
6,ABCA7
7,ABCA8
8,ABCA9
9,ABCB1
10,ABCG1
11,ABHD11-AS1
12,ABHD13
13,ABHD15
14,ABHD3
15,ABHD5
16,ABI3
17,ABI3BP
18,ABL2
19,ABLIM1
20,ABTB1
21,ABTB2
22,AC002117.1
23,AC002310.12
24,AC002454.1
25,AC004057.1
26,AC004381.2
27,AC004386.1
28,AC004453.1
29,AC004453.8
30,AC004656.1
31,AC004687.1
32,AC004890.1
33,AC004893.11
34,AC004951.6
35,AC005261.3
36,AC005262.1
37,AC005300.1
38,AC005632.2
39,AC005726.5
40,AC005785.2
41,AC005839.1
42,AC005912.1
43,AC005921.2
44,AC005921.3
45,AC006001.3
46,AC006077.2
47,AC006129.2
48,AC006978.1
49,AC007014.1
50,AC007036.2
51,AC007382.1
52,AC007613.1
53,AC007686.3
54,AC007688.1
55,AC007952.4
56,AC007969.1
57,AC008026.1
58,AC008035.1
59,AC008038.1
60,AC008105.3
61,AC008443.4
62,AC008555.5
63,AC008753.1
64,AC008875.3
65,AC008969.1
66,AC009302.1
67,AC009413.1
68,AC009501.4
69,AC009951.1
70,AC009996.1
71,AC010326.4
72,AC010343.1
73,AC010468.1
74,AC010615.2
75,AC010618.3
76,AC011445.2
77,AC011472.2
78,AC011495.1
79,AC011498.6
80,AC011498.7
81,AC011893.3
82,AC011933.2
83,AC011979.1
84,AC012354.2
85,AC012360.3
86,AC012368.1
87,AC012557.2
88,AC012618.1
89,AC012645.3
90,AC013264.2
91,AC013394.1
92,AC015799.1
93,AC015883.1
94,AC015912.3
95,AC015982.1
96,AC015987.1
97,AC016734.1
98,AC016735.2
99,AC016739.1
100,AC016739.2
101,AC016831.4
102,AC016831.5
103,AC016831.7
104,AC017002.1
105,AC018521.5
106,AC018523.1
107,AC018738.1
108,AC018868.1
109,AC020571.3
110,AC020656.1
111,AC020898.1
112,AC020915.1
113,AC020915.3
114,AC020916.1
115,AC021078.1
116,AC022182.1
117,AC022182.2
118,AC022400.7
119,AC023590.1
120,AC024075.1
121,AC024293.1
122,AC024568.1
123,AC025164.1
124,AC025171.3
125,AC025171.4
126,AC025181.2
127,AC026124.2
128,AC026271.1
129,AC026362.2
130,AC026403.1
131,AC026412.1
132,AC026979.2
133,AC027031.2
134,AC027279.1
135,AC027290.2
136,AC027559.1
137,AC034236.1
138,AC040162.1
139,AC040169.1
140,AC044849.1
141,AC046185.3
142,AC055822.1
143,AC058791.1
144,AC060780.1
145,AC064799.1
146,AC068137.1
147,AC068580.1
148,AC068631.3
149,AC069213.3
150,AC069218.1
151,AC073861.1
152,AC073896.3
153,AC073896.4
154,AC074117.1
155,AC078817.1
156,AC079015.1
157,AC079140.2
158,AC079250.1
159,AC079331.1
160,AC079767.4
161,AC079922.1
162,AC084824.1
163,AC087276.1
164,AC087343.1
165,AC087359.1
166,AC087623.2
167,AC090114.1
168,AC090152.1
169,AC090181.3
170,AC090498.1
171,AC090617.10
172,AC091181.1
173,AC091271.1
174,AC091390.3
175,AC091429.1
176,AC092069.1
177,AC092117.2
178,AC092139.3
179,AC092140.1
180,AC092171.3
181,AC092343.1
182,AC092580.4
183,AC092597.1
184,AC092620.2
185,AC092821.3
186,AC092953.1
187,AC093157.1
188,AC093591.1
189,AC093627.4
190,AC093673.1
191,AC093752.1
192,AC095055.1
193,AC096579.7
194,AC096667.1
195,AC096733.2
196,AC096775.1
197,AC097263.1
198,AC097376.2
199,AC097634.1
200,AC098591.2
201,AC099560.2
202,AC099689.1
203,AC099778.1
204,AC099789.1
205,AC100858.3
206,AC103591.3
207,AC103691.1
208,AC103703.1
209,AC103706.1
210,AC103769.1
211,AC104024.1
212,AC104109.4
213,AC104695.3
214,AC106707.1
215,AC106795.1
216,AC106820.1
217,AC107075.1
218,AC107464.3
219,AC108134.2
220,AC108136.1
221,AC108693.1
222,AC108704.2
223,AC109326.1
224,AC110994.2
225,AC113367.1
226,AC113398.1
227,AC113935.1
228,AC114760.2
229,AC115223.1
230,AC115618.3
231,AC116533.1
232,AC119396.1
233,AC119428.2
234,AC122718.1
235,AC124016.1
236,AC124016.2
237,AC125437.2
238,AC125807.1
239,AC127502.1
240,AC127502.2
241,AC130448.2
242,AC130895.1
243,AC131009.4
244,AC131212.2
245,AC132192.1
246,AC132872.4
247,AC133065.3
248,AC133134.1
249,AC133435.1
250,AC133644.2
251,AC135983.2
252,AC136632.1
253,AC137767.1
254,AC138393.1
255,AC138409.2
256,AC141586.1
257,AC144530.1
258,AC159540.1
259,AC211486.2
260,AC239799.2
261,AC241585.2
262,AC243829.4
263,AC243960.1
264,AC244093.2
265,AC244154.1
266,AC244502.1
267,AC245014.3
268,AC245060.4
269,AC245060.5
270,AC245100.1
271,AC245100.4
272,AC245100.8
273,AC245128.3
274,AC245297.3
275,AC246787.1
276,AC253572.2
277,ACAD10
278,ACADSB
279,ACKR1
280,ACP5
281,ACRBP
282,ACSL1
283,ACSL4
284,ACSL5
285,ACSM3
286,ACTA2
287,ACTB
288,ACTN1
289,ACVR2B
290,ACY3
291,ADA
292,ADA2
293,ADAM12
294,ADAM15
295,ADAM17
296,ADAM19
297,ADAM23
298,ADAM28
299,ADAM8
300,ADAMDEC1
301,ADAMTS1
302,ADAMTS4
303,ADAMTS5
304,ADAMTS9
305,ADAP1
306,ADAP2
307,ADARB1
308,ADAT2
309,ADCY7
310,ADD1
311,ADGRE1
312,ADGRE2
313,ADGRE5
314,ADGRG1
315,ADGRG3
316,ADGRG5
317,ADH1B
318,ADH6
319,ADI1
320,ADIRF
321,ADK
322,ADM
323,ADM5
324,ADRA2A
