,0
0,LINC00115
1,KLHL17
2,HES4
3,RNF223
4,TNFRSF18
5,SDF4
6,UBE2J2
7,SCNN1D
8,DVL1
9,MXRA8
10,ANKRD65
11,VWA1
12,ATAD3C
13,TMEM240
14,SSU72
15,FNDC10
16,CDK11B
17,SLC35E2B
18,CDK11A
19,SLC35E2A
20,GABRD
21,PRKCZ-AS1
22,MORN1
23,RER1
24,PLCH2
25,TNFRSF14
26,MMEL1
27,TTC34
28,PRDM16-DT
29,PRDM16
30,ARHGEF16
31,TPRG1L
32,WRAP73
33,TP73
34,NPHP4
35,CHD5
36,ACOT7
37,HES2
38,TNFRSF25
39,PHF13
40,TNFRSF9
41,CTA-215D11.6
42,GPR157
43,MIR34AHG
44,LNCTAM34A
45,H6PD
46,SPSB1
47,PIK3CD
48,CTNNBIP1
49,LZIC
50,RBP7
51,RP4-736L20.5
52,PGD
53,DFFA
54,CASZ1
55,SRM
56,MTOR
57,FBXO2
58,DRAXIN
59,AGTRAP
60,C1orf167
61,CLCN6
62,MFN2
63,TNFRSF8
64,VPS13D
65,PDPN
66,PRDM2
67,TMEM51
68,FHAD1
69,SLC25A34
70,UQCRHL
71,FLJ37453
72,HSPB7
73,RP11-276H7.2
74,ARHGEF19
75,FBXO42
76,SPATA21
77,RP11-108M9.4
78,MFAP2
79,ATP13A2
80,PADI2
81,ALDH4A1
82,UBR4
83,EMC1
84,AKR7A2
85,MICOS10
86,NBL1
87,TMCO4
88,OTUD3
89,PLA2G2A
90,PINK1-AS
91,LDLRAD2
92,HSPG2
93,CDC42
94,C1QC
95,TCEA3
96,ASAP3
97,ID3
98,RPL11
99,ELOA
100,ELOA-AS1
101,SRSF10
102,STPG1
103,RCAN3
104,NCMAP
105,SRRM1
106,SYF2
107,MAN1C1
108,STMN1
109,PAFAH2
110,FAM110D
111,ZNF593
112,CNKSR1
113,CD52
114,ZNF683
115,HMGN2
116,ZDHHC18
117,SFN
118,NUDC
119,TRNP1
120,SLC9A1
121,SYTL1
122,CD164L2
123,AHDC1
124,FAM76A
125,PPP1R8
126,THEMIS2
127,EYA3
128,PTAFR
129,ATP5IF1
130,PHACTR4
131,RAB42
132,RNU11_ENSG00000270103
133,LINC01778
134,SDC3
135,PUM1
136,ZCCHC17
137,TINAGL1
138,PEF1
139,ADGRB2
140,PTP4A2
141,RP11-277A4.4
142,KPNA6
143,TXLNA
144,IQCC
145,EIF3I
146,FAM167B
