,0
0,A2M
1,AASS
2,ABAT
3,ABCA10
4,ABCA12
5,ABCA13
6,ABCA4
7,ABCA5
8,ABCA6
9,ABCA8
10,ABCA9
11,ABCB1
12,ABCB10
13,ABCC3
14,ABCC4
15,ABCC9
16,ABCG1
17,ABI3BP
18,ABLIM1
19,ABLIM2
20,ABLIM3
21,ABR
22,ABTB2
23,AC002066.1
24,AC003984.1
25,AC004485.3
26,AC004540.4
27,RP5-1171I10.5
28,AC004901.1
29,AC005082.12
30,RP11-281P23.2
31,CTA-109P11.4
32,RP11-264B14.1
33,RP5-1093G23.1
34,AC007040.11
35,AC007682.1
36,RP11-541G9.1
37,RP11-467J12.4
38,RP11-993B23.3
39,CTC-535M15.2
40,CTC-329D1.2
41,RP11-426C22.5
42,AC009478.1
43,AC009495.4
44,RP11-1028N23.4
45,CTC-458I2.2
46,CTD-3037G24.3
47,CTC-471J1.9
48,RP11-759A24.3
49,AC012593.1
50,AC013472.4
51,RP11-624L4.1
52,RP11-120I21.2
53,RP11-61O11.1
54,RP11-66B24.1
55,RP11-210M15.2
56,SNHG31
57,RP11-36B6.2
58,AC016768.1
59,LINC02889
60,AC013463.2
61,RP11-3G21.1
62,KLRK1-AS1
63,CTD-3020H12.4
64,RP11-752D24.2
65,CTD-3118D11.2
66,AC023590.1
67,RP11-63A11.1
68,AC024560.2
69,RP11-519G16.3
70,AC026167.1
71,RP11-324E6.6
72,RP11-318C2.1
73,RP11-463D19.1
74,RP11-792A8.5
75,RP11-235E17.6
76,RP11-35J10.5
77,RP11-692D12.1
78,RP11-290H9.2
79,RP11-573D15.8
80,RP11-531H8.2
81,AC003075.4
82,RP11-530C5.1
83,RP11-627D16.1
84,MECOM-AS1
85,RP4-798C17.7
86,RP11-114H23.1
87,RP11-457K10.1
88,RP11-290O12.2
89,CTD-2201G3.1
90,LRRK2-DT
91,RP11-396O20.1
92,RP11-255M2.2
93,RP11-66B24.5
94,HMGA2-AS1
95,RP11-384F7.2
96,RP11-550H2.2
97,RP11-231E6.1
98,RP11-798K3.4
99,RP11-125O18.1
100,RP11-556I14.1
101,LINC02778
102,CAVIN2-AS1
103,CTC-391G2.1
104,RP11-141A19.1
105,RP11-436K8.1
106,CTD-3193K9.4
107,AC100830.3
108,EPS15-AS1
109,RP11-284M14.1
110,RP11-381K20.2
111,CTC-340A15.2
112,RP11-714G18.1
113,EDIL3-DT
114,RP11-152K4.2
115,AC114812.8
116,RP11-875H7.5
117,RP11-701H24.9
118,RP11-133F8.2
119,RP11-394O4.6
120,RP11-368L12.1
121,PSMD7-DT
122,RP11-826N14.7
123,LINC02798
124,RP11-439A17.10
125,CH17-360D5.2
126,ACAP1
127,ACAT1
128,ACER2
129,ACKR1
130,ACMSD
131,ACO1
132,ACOD1
133,ACOXL
134,ACP3
135,ACSF2
136,ACSL4
137,ACSM1
138,ACSM2A
139,ACSM2B
140,ACSM3
141,ACSS3
142,ACTA1
143,ACTA2
144,ACTB
145,ACTN4
146,ACVRL1
147,ADA2
148,ADAM10
149,ADAM12
150,ADAM15
151,ADAM19
152,ADAM22
153,ADAM23
154,ADAM33
155,ADAMTS1
156,ADAMTS12
157,ADAMTS16
158,ADAMTS17
159,ADAMTS18
160,ADAMTS19
161,ADAMTS2
162,ADAMTS3
163,ADAMTS5
164,ADAMTS6
165,ADAMTS9-AS1
166,ADAMTS9-AS2
167,ADAMTSL1
168,ADAMTSL2
169,ADAMTSL3
170,ADCY1
171,ADCY2
172,ADCY3
173,ADCY4
174,ADCY7
175,ADCY8
176,ADCYAP1
177,ADD3
178,ADGRA2
179,ADGRB2
180,ADGRB3
181,ADGRD1
182,ADGRE2
183,ADGRE5
184,ADGRF1
185,ADGRF5
186,ADGRG2
187,ADGRG6
188,ADGRL2
189,ADGRL3
190,ADGRL4
191,ADGRV1
192,ADH1B
193,ADH1C
194,ADIRF
195,ADK
196,ADM
197,ADORA1
198,ADRA1A
