,0
0,A1BG
1,A2M
2,A4GALT
3,AADAC
4,AASS
5,ABCA13
6,ABCA3
7,ABCA6
8,ABCA7
9,ABCA8
10,ABCB1
11,ABCG1
12,ABHD15
13,ABHD4
14,ABHD5
15,ABI2
16,ABI3
17,ABI3BP
18,ABLIM1
19,ABRACL
20,AC023590.1
21,AC058791.1
22,ACAA1
23,ACADVL
24,ACAP1
25,ACKR1
26,ACKR3
27,ACOT13
28,ACOT7
29,ACP3
30,ACP5
31,ACSL1
32,ACSL4
33,ACSS3
34,ACTA2
35,ACTB
36,ACTG1
37,ACTG2
38,ACTN1
39,ACTR2
40,ACTR3
41,ACVR1C
42,ACY3
43,ADA
44,ADA2
45,ADAM12
46,ADAM15
47,ADAM19
48,ADAM28
49,ADAM33
50,ADAMTS1
51,ADAMTS4
52,ADAMTS8
53,ADAMTS9
54,ADAMTS9-AS2
55,ADAP2
56,ADCY4
57,ADCYAP1
58,ADGB
59,ADGRA2
60,ADGRD1
61,ADGRE1
62,ADGRE2
63,ADGRE5
64,ADGRF5
65,ADGRG3
66,ADGRG6
67,ADGRL4
68,ADH1B
69,ADIRF
70,ADM
71,ADRB2
72,AEBP1
73,AFDN
74,AFF1
75,AFF3
76,AGAP2-AS1
77,AGBL4
78,AGER
79,AGPAT1
80,AGPAT5
81,AGR2
82,AGR3
83,AGRN
84,AHCY
85,AHNAK
86,AHR
87,AIF1
88,AIM2
89,AK1
90,AK4
91,AKAP12
92,AKAP13
93,AKAP9
94,AKIP1
95,AKNA
96,AKR1C1
97,AKR1C2
98,AKR1C3
99,AKT3
100,ALAS2
101,ALCAM
102,ALDH1A1
103,ALDH1A2
104,ALDH1A3
105,ALDH2
106,ALDH3A2
107,ALDH3B1
108,ALDH6A1
109,ALDH7A1
110,ALDOA
111,ALOX5
112,ALOX5AP
113,ALS2
114,AMHR2
115,AMOTL2
116,ANAPC11
117,ANG
118,ANGPT1
119,ANGPT2
120,ANGPTL1
121,ANGPTL4
122,ANK2
123,ANKRD1
124,ANKRD10
125,ANKRD11
126,ANKRD28
127,ANKRD29
128,ANKRD33B
129,ANKRD36C
130,ANKRD44
131,ANLN
132,ANOS1
133,ANP32B
134,ANP32E
135,ANPEP
136,ANTKMT
137,ANXA1
138,ANXA11
139,ANXA2
140,ANXA3
141,ANXA4
142,ANXA5
143,ANXA6
144,ANXA8
145,ANXA8L1
146,AOAH
147,AOC1
148,AOPEP
149,AP1M2
150,AP1S2
151,AP2M1
152,AP2S1
153,APBB1IP
154,APEX1
155,APLP2
156,APOBEC3A
157,APOBEC3G
158,APOC1
159,APOD
160,APOE
161,APOLD1
162,APP
163,APRT
164,AQP1
165,AQP3
166,AQP4
167,AQP5
168,AQP9
169,AREG
170,ARF4
171,ARF6
172,ARFGEF3
173,ARHGAP1
174,ARHGAP15
175,ARHGAP18
176,ARHGAP24
177,ARHGAP28
178,ARHGAP29
179,ARHGAP44
180,ARHGAP6
181,ARHGDIB
182,ARHGEF6
183,ARID3A
184,ARID5A
185,ARID5B
186,ARL13B
187,ARL2
188,ARL3
189,ARL4A
190,ARL4C
191,ARL5B
192,ARL6IP4
193,ARL6IP5
194,ARMC3
195,ARMC9
196,ARMCX2
197,ARMH1
198,ARPC1A
199,ARPC1B
200,ARPC2
201,ARPC3
202,ARPC4
203,ARPC5
204,ARPC5L
205,ARRB2
206,ARSJ
207,ASAH1
208,ASAP1
209,ASB2
210,ASCC1
211,ASF1B
212,ASNS
213,ASPH
214,ASPHD1
215,ASPM
216,ASPN
217,ASRGL1
218,ATAD2
219,ATE1
220,ATF3
221,ATF5
222,ATG101
223,ATOX1
224,ATP10A
225,ATP11C
226,ATP13A4
227,ATP1A1
228,ATP1B1
229,ATP1B2
230,ATP1B3
231,ATP2B1
232,ATP2B1-AS1
233,ATP5F1C
234,ATP5MC2
235,ATP5MC3
236,ATP5MG
237,ATP6AP1
238,ATP6AP2
239,ATP6V0A2
240,ATP6V0B
241,ATP6V0E1
242,ATP6V1A
243,ATP6V1F
244,ATP8B4
245,ATPAF2
246,ATRAID
247,AURKA
248,AURKB
249,AVPI1
250,AXL
251,AZGP1
252,B2M
253,B3GNT5
254,B3GNT7
255,BACE2
256,BACH2
257,BAG1
258,BAG3
259,BANF1
260,BANK1
261,BASP1
262,BATF
263,BATF3
264,C9orf16
265,BBOF1
266,BCAM
267,BCAP29
268,BCAP31
269,BCAR1
270,BCAS4
271,BCHE
272,BCL11A
273,BCL11B
274,BCL2A1
275,BCL2L11
276,BCLAF1
277,BCS1L
278,BDH2
279,BDKRB1
280,BEND5
281,BEX2
282,BEX3
283,BEX4
284,BGN
285,BHLHE40
286,BHLHE41
287,BHMT2
288,BID
289,BIK
290,BIN2
291,BIRC3
292,BIRC5
293,BLK
294,BLNK
295,BLOC1S1
296,BLVRA
297,BLVRB
298,BMP1
299,BMP2K
300,BMP4
301,BMPR1B
302,BMPR2
303,BMX
304,BNC1
305,BNC2
306,BNIP3
307,BNIP3L
308,BOD1L1
309,BPIFA1
310,BPIFB1
311,BRCA1
312,BRCA2
313,BRD8
314,BRI3
315,BRIX1
316,BSG
317,BST2
318,BTF3
319,BTG1
320,BTG2
321,BTK
322,BTN2A2
323,BTN3A2
324,BUB1
325,BUB3
326,C11orf96
327,C11orf97
328,C12orf57
329,C12orf75
330,C15orf39
331,C15orf48
332,C16orf46
333,C16orf72
334,C16orf89
335,C17orf49
336,C19orf33
337,C19orf38
338,C1QA
339,C1QB
340,C1QBP
341,C1QC
342,C1QTNF1
343,C1QTNF2
344,C1R
345,C1S
346,C1orf122
347,C1orf158
348,C1orf162
349,C1orf167
350,C1orf189
351,C1orf194
352,C1orf198
353,C1orf21
354,C1orf54
355,C1orf56
356,C2
357,C20orf27
358,C20orf85
359,C21orf58
360,C22orf15
361,C2orf76
362,C3
363,C3orf14
364,C4orf47
365,C5AR1
366,C5orf38
367,C5orf49
368,C6
369,C7
370,C8orf34
371,C9orf116
372,C9orf135
373,C9orf24
374,CA4
375,CA9
376,CABCOCO1
377,CACNA1C
378,CACNA1H
379,CACNA2D4
380,CACNB2
381,CACNB3
382,CADM1
383,CADM3
384,CADM3-AS1
385,CADPS
386,CALB2
387,CALCA
388,CALCRL
389,CALD1
390,CALHM5
391,CALHM6
392,CALM1
393,CALM2
394,CALML4
395,CALU
396,CAMK1
397,CAMK1D
398,CAMK2N1
399,CAMP
400,CANX
401,CAP1
402,CAP2
403,CAPG
404,CAPN12
405,CAPN13
406,CAPN2
407,CAPS
408,CAPSL
409,CAPZA1
410,CAPZA2
411,CAPZB
412,CARD11
413,CARD16
414,CARD6
415,CARHSP1
416,CARMN
417,CASP1
418,CASP3
419,CASP4
420,CAST
421,CAT
422,CATSPER1
423,CATSPERD
424,CAV1
425,CAV2
426,CAVIN1
427,CAVIN2
428,CAVIN3
429,CBFA2T3
430,CBLB
431,CBX5
432,CCAR1
433,CCBE1
434,CCDC102B
435,CCDC112
436,CCDC115
437,CCDC146
438,CCDC153
439,CCDC170
440,CCDC173
441,CCDC186
442,CCDC34
443,CCDC39_ENSG00000284862
444,CCDC40
445,CCDC50
446,CCDC68
447,CCDC74A
448,CCDC78
449,CCDC80
450,CCDC85B
451,CCDC88A
452,CCK
453,CCL14
454,CCL17
455,CCL18
456,CCL19
457,CCL2
458,CCL21
459,CCL22
460,CCL3
461,CCL4
462,CCL4L2
463,CCL5
464,CCL8
465,CCN1
466,CCN2
467,CCNA2
468,CCNB1
469,CCNB2
470,CCND2
471,CCND3
472,CCNG2
473,CCNO
474,CCPG1
475,CCR7
476,CCR8
477,CCRL2
478,CD14
479,CD151
480,CD160
481,CD163
482,CD164
483,CD19
484,CD1A
485,CD1B
486,CD1D
487,CD1E
488,CD2
489,CD207
490,CD22
491,CD24
492,CD247
493,CD27
494,CD2AP
495,CD300A
496,CD300E
497,CD300LF
498,CD302
499,CD34
500,CD36
501,CD37
502,CD38
503,CD3D
504,CD3E
505,CD3G
506,CD4
507,CD40
508,CD44
509,CD47
510,CD48
511,CD52
512,CD53
513,CD55
514,CD58
515,CD59
516,CD6
517,CD63
518,CD68
519,CD69
520,CD7
521,CD70
522,CD74
523,CD79A
524,CD79B
525,CD80
526,CD81
527,CD83
528,CD86
529,CD8A
530,CD8B
531,CD9
532,CD96
533,CD99
534,CDA
535,CDC14A
536,CDC20
537,CDC20B
538,CDC42
539,CDC42BPA
540,CDC42BPB
541,CDC42EP1
542,CDC42EP2
543,CDC42EP3
544,CDC42EP4
545,CDC42SE1
546,CDC42SE2
547,CDCA8
548,CDH1
549,CDH11
550,CDH13
551,CDH23
552,CDH5
553,CDH6
554,CDHR3
555,CDK1
556,CDK15
557,CDK19
558,CDK2AP1
559,CDK6
560,CDKN1A
561,CDKN1C
562,CDKN2A
563,CDKN2D
564,CDKN3
565,CDS1
566,CDT1
567,CDV3
568,CDYL
569,CEACAM3
570,CEACAM6
571,CEBPB
572,CEBPD
573,CELF2
574,CENPE
575,CENPF
576,CENPJ
577,CENPK
578,CENPM
579,CENPU
580,CENPW
581,CEP126
582,CEP128
583,CEP135
584,CEP55
585,CEP89
586,CERCAM
587,CERS6
588,CES1
589,CETN2
590,CFAP126
591,CFAP157
592,CFAP221
593,CFAP298
594,CFAP299
595,CFAP300
596,CFAP43
597,CFAP44
598,CFAP45
599,CFAP46
600,CFAP52
601,CFAP53
602,CFAP54
603,CFAP57
604,CFAP70
605,CFAP73
606,CFAP91
607,CFB
608,CFD
609,CFH
610,CFI
611,CFL1
612,CFL2
613,CFLAR
614,CFP
615,CGN
616,CGNL1
617,CHAC1
618,CHAF1A
619,CHCHD10
620,CHCHD3
621,CHD4
622,CHN1
623,CHPF
624,CHRDL1
625,CHST11
626,CHST12
627,CHST2
628,CHST7
629,CHST9
630,CIAO2A
631,CIB1
632,CIB2
633,CIBAR2
634,CIITA
635,CIRBP
636,CISD1
637,CIT
638,CITED2
639,CKAP2
640,CKAP2L
641,CKAP4
642,CKB
643,CKLF
644,CKS1B
645,CKS2
646,CLC
647,CLCN3
648,CLCN5
649,CLDN1
650,CLDN10
651,CLDN15
652,CLDN18
653,CLDN3
654,CLDN4
655,CLDN5
656,CLDN7
657,CLEC10A
658,CLEC11A
659,CLEC12A
660,CLEC14A
661,CLEC2B
662,CLEC2D
663,CLEC4A
664,CLEC4C
665,CLEC4E
666,CLEC5A
667,CLEC7A
668,CLEC9A
669,CLECL1
670,CLIC1
671,CLIC2
672,CLIC3
673,CLIC4
674,CLIC5
675,CLIC6
676,CLIP3
677,CLLU1
678,CLLU1-AS1
679,CLMN
680,CLN8
681,CLNK
682,CLSPN
683,CLTB
684,CLU
685,CLUAP1
686,CMA1
687,CMC1
688,CMTM2
689,CMTM6
690,CMTM7
691,CNIH4
692,CNKSR2
693,CNKSR3
694,CNN1
695,CNN3
696,CNOT6L
697,CNPY3
698,CNPY4
699,CNRIP1
700,CNST
701,COBL
702,COBLL1
703,COL10A1
704,COL11A1
705,COL12A1
706,COL14A1
707,COL15A1
708,COL16A1
709,COL18A1
710,COL1A1
711,COL1A2
712,COL27A1
713,COL3A1
714,COL4A1
715,COL4A2
716,COL4A3
717,COL4A4
718,COL5A1
719,COL5A2
720,COL6A1
721,COL6A2
722,COL6A3
723,COL8A1
724,COLEC12
725,COLGALT1
726,COMMD6
727,COMP
728,COMT
729,COPA
730,COPE
731,COPS6
732,COPZ2
733,COQ7
734,CORO1A
735,CORO1B
736,CORO1C
737,COTL1
738,COX4I1
739,COX4I2
740,COX6B1
741,COX6C
742,COX7A1
743,COX7A2
744,COX7B
745,COX7C
746,COX8A
747,CP
748,CPA3
749,CPA4
750,CPB1
751,CPD
752,CPE
753,CPEB4
754,CPED1
755,CPM
756,CPNE5
757,CPPED1
758,CPVL
759,CPXM1
760,CRABP2
761,CRACR2B
762,CRAT
763,CRB3
764,CREB3L2
765,CREB5
766,CREG1
767,CREM
768,CRIM1
769,CRIP1
770,CRIP2
771,CRISPLD2
772,CRNDE
773,CRTAM
774,CRTAP
775,CRTC3
776,CRYAB
777,CRYM
778,CRYZ
779,CSF1
780,CSF1R
781,CSF2RA
782,CSF2RB
783,CSF3R
784,CSGALNACT2
785,CSPP1
786,CSRP1
787,CSRP2
788,CST1
789,CST3
790,CST6
791,CST7
792,CSTA
793,CSTB
794,CTBP2
795,CTHRC1
796,CTLA4
797,CTNNA1
798,CTNNAL1
799,CTNNB1
800,CTNNBIP1
801,CTNNBL1
802,CTSB
803,CTSC
804,CTSD
805,CTSE
806,CTSG
807,CTSH
808,CTSK
809,CTSL
810,CTSS
811,CTSW
812,CTSZ
813,CTTN
814,CTTNBP2
815,CTXN1
816,CUTA
817,CWC15
818,CX3CL1
819,CXADR
820,CXCL1
821,CXCL10
822,CXCL12
823,CXCL13
824,CXCL16
825,CXCL17
826,CXCL2
827,CXCL3
828,CXCL6
829,CXCL8
830,CXCR2
831,CXCR4
832,CXCR5
833,CXXC5
834,CYB561A3
835,CYB5A
836,CYB5R3
837,CYBA
838,CYBB
839,CYBRD1
840,CYFIP2
841,CYGB
842,CYP1B1
843,CYP27A1
844,CYP2A6
845,CYP2A7
846,CYP2S1
847,CYP4B1
848,CYRIA
849,CYRIB
850,CYSTM1
851,CYTH4
852,CYTIP
853,CYTOR
854,CYYR1
855,CZIB
856,DAAM2
857,DAB2
858,DAB2IP
859,DAD1
860,DAPP1
861,DAW1
862,DAZAP1
863,DAZAP2
864,DBI
865,DBNDD2
866,DCBLD1
867,DCBLD2
868,DCDC1
869,DCHS1
870,DCK
871,DCLK1
872,DCN
873,DCTPP1
874,DDIT3
875,DDIT4
876,DDX24
877,DDX39A
878,DDX5
879,DECR2
880,DEF6
881,DEFA3
882,DEGS2
883,DEK
884,DENND1B
885,DENND5A
886,DEPDC1
887,DEPP1
888,DERL3
889,DES
890,DGAT2
891,DGKG
892,DGKI
893,DHCR24
894,DHRS3
895,DHTKD1
896,DIAPH3
897,DIO2
898,DIO3OS
899,DIP2C
900,DIPK2B
901,DKK2
902,DKK3
903,DLGAP5
904,DLL4
905,DLX5
906,DMBT1
907,DMKN
908,DMTN
909,DMXL2
910,DNAAF1
911,DNAAF4
912,DNAH11
913,DNAH12
914,DNAH5
915,DNAH6
916,DNAH7
917,DNAH9
918,DNAI1
919,DNAI3
920,DNAI4
921,DNAJA1
922,DNAJB1
923,DNAJB4
924,DNAJC12
925,DNAJC15
926,DNAL1
927,DNALI1
928,DNASE1L3
929,DNM2
930,DNMBP
931,DNMT1
932,DNPH1
933,DOC2B
934,DOCK1
935,DOCK11
936,DOCK2
937,DOCK4
938,DOCK8
939,DOCK9
940,DOK2
941,DOK5
942,DONSON
943,DPCD
944,DPEP1
945,DPYD
946,DPYSL2
947,DPYSL3
948,DRAP1
949,DRC1
950,DRC3
951,DSE
952,DSEL
953,DSP
954,DST
955,DSTN
956,DSTYK
957,DTHD1
958,DTYMK
959,DUBR
960,DUSP1
961,DUSP18
962,DUSP2
963,DUSP23
964,DUSP4
965,DUSP5
966,DUT
967,DYDC2
968,DYNC1LI1
969,DYNC1LI2
970,DYNC2H1
971,DYNC2I1
972,DYNC2I2
973,DYNC2LI1
974,DYNLL1
975,DYNLRB2
976,DYNLT1
977,DYNLT2B
978,DYSF
979,DZIP3
980,EAF2
981,EBF1
982,EBI3
983,EBNA1BP2
984,EBPL
985,ECM1
986,ECRG4
987,ECSCR
988,ECT2L
989,EDF1
990,EDIL3
991,EDN1
992,EDNRB
993,EEF1A1
994,EEF1AKMT1
995,EEF1B2
996,EEF1D
997,EEF1G
998,EEF2
999,EFCAB1
1000,EFCAB10
1001,EFCC1
1002,EFEMP1
1003,EFHC1
1004,EFHD2
1005,EFNA1
1006,EFNA5
1007,EFTUD2
1008,EGFL6
1009,EGFL7
1010,EGFLAM
1011,EGFR
1012,EGLN3
1013,EGOT
1014,EGR1
1015,EGR3
1016,EHD2
1017,EHF
1018,EI24
1019,EID1
1020,EIF1
1021,EIF2AK4
1022,EIF2S3
1023,EIF3E
1024,EIF3F
1025,EIF3H
1026,EIF3L
1027,EIF3M
1028,EIF4A1
1029,EIF4EBP1
1030,ELF1
1031,ELF3
1032,ELK3
1033,ELMO1
1034,ELN
1035,ELOB
1036,EMCN
1037,EMID1
1038,EMILIN1
1039,EMILIN2
1040,EML4
1041,EMP1
1042,EMP2
1043,EMP3
1044,ENAH
1045,ENAM
1046,ENC1
1047,ENDOG
1048,ENG
1049,ENHO
1050,ENKUR
1051,ENO1
1052,ENO3
